sp,yr2008,yr2013
DIOSMA,6178,2386
DRYPLI,789,595
AGLAFO,594,431
CRYPCO,428,308
BEILER,205,138
DIOSPH,172,167
CHAMMA,130,58
GONOCA,119,78
DIOSER,119,97
GLYCCI,103,86
DENDME,82,18
DRACAN,71,25
BOEHWA,68,37
PALAFO,61,34
MELAMU,60,19
CROTCA,53,41
LIODFO,48,32
ARDISI,47,41
MALLPH,40,22
ANTIPE,31,18
PISOUM,29,4
PLANOB,28,16
MURRPA,25,14
MACATA,25,1
LEEAGU,25,13
FICUSE,24,7
LASIOB,23,7
CRATAD,16,11
ARDIQU,16,14
CELTFO,16,6
DIOSFE,15,6
KOELHE,14,7
VITEQU,13,3
MELISE,12,5
GLOCPH,11,2
SAPIMU,9,4
TRICCA,9,3
BREYOF,7,4
SYZYFO,7,4
EHRERE,7,4
MACHJA,6,7
FICUIR,5,2
RADESI,4,2
CLERTR,4,2
SEVEBU,4,4
PSYCRU,4,0
NEOLPA,4,2
CALLFO,4,1
EHREAC,3,0
FICUAM,3,1
GELOAE,3,1
ERIODE,3,1
FIRMSI,3,0
MAESPE,3,0
FLUESU,3,0
LITSHY,2,1
FRAXIN,2,0
SCOLOL,2,1
BRIDBA,2,1
VIBUOD,2,0
BISCJA,1,0
CINNRE,1,0
FICUSU,1,0
REEVFO,1,0
EHREDI,0,2
RANDSI,0,1
RANDSP,0,1
